Bag;DayPostInnoculum;NeukHighSSC (cells/mL);NeuksLowSSC (cells/mL);Peuks (cells/mL);Syn (cells/mL);Het. Bacteria (cells/mL);EhV;MPV;MOI;Ciliates (cells/mL);Thraustochytrids ddPCR;% infected Ehux;Nitrate (umolN/L);Chlorophyll (ug/L);DMS (pmol/mL);DMS std;DMSPd;DMSPt;DMSPt std;DMSPp;DMSPd std;PON (nmol/mL);
1;0;141;1690;18400;2030;;686;;0;;;;0.048;2.15;3.31;0.05;11.66;117.62;0.18;105.96;0.18;1.89;
1;1;120;1390;14800;9930;;62;;0;;;;1.329;2.21;4.07;0.33;8.32;59.97;1.51;51.65;1.51;1.66;
1;1.5;47.4;1470;17900;4340;;;;0;;;;;;;;;;;;;;
1;2;84.1;2120;21400;2870;;;;0;;235;;2.688;2.72;5.88;0.15;5.97;60.37;0.86;54.4;0.86;2.48;
1;2.5;86.6;2860;20400;31800;;;;0;;;;;;;;;;;;;;
1;3;278;4500;44900;16400;;;;0;;;;3.208;3.42;6.88;0.16;7.1;93.36;0.63;86.26;0.63;2.78;
1;3.5;140;4750;67600;5730;;;;0;;;;;;;;;;;;;;
1;4;279;6300;75000;5380;;;;0;;;;4.609;4.34;6.86;0.05;11.66;117.62;0.18;105.96;0.18;3.10;
1;4.5;483;4060;79200;5280;;;;0;;;;;;;;;;;;;;
1;5;183;8430;105000;4280;;0;;0;;;;4.755;6.23;6.95;0.01;13.69;127.36;0.32;113.67;0.32;3.72;
1;6;847;6630;92300;6380;196000;;179000;219;32.17;;;3.749;6.67;10.96;0.47;12.84;195.42;0.45;182.57;0.45;4.28;
1;6.5;290;5470;92600;27700;1550000;;1620000;4180;;;;;;;;;;;;;;
1;7;276;5050;88300;4070;2370000;;2550000;8350;65.89;;;3.722;7.17;19.63;0.21;37.42;189.62;6.31;152.2;6.31;4.67;
1;7.5;409;3150;37900;109000;2140000;;2440000;3480;;;;;;;;;;;;;;
1;8;439;8690;110000;6210;2600000;;2960000;3620;93.22;4533.33;;3.485;9.39;21.32;0.01;27.83;273.74;4.9;245.91;4.9;4.91;
1;8.5;907;9260;110000;15900;2650000;;3500000;2030;;;;;;;;;;;;;;
1;9;1410;13800;111000;8190;2980000;67;5440000;1880;117.74;;;0.809;12.39;21.16;0.66;18.09;519.58;22.25;501.49;22.25;5.61;
1;9.5;1850;9090;107000;10400;;;;0;;;;;;;;;;;;;;
1;10;7390;10800;112000;10900;3920000;80;7660000;698;39.25;;;0.023;10.71;35.11;1.44;24.99;405.01;4.2;380.02;4.2;8.37;
1;10.5;6670;4150;88800;38100;6990000;;15100000;2020;;;;;;;;;;;;;;
1;11;9900;6200;91500;20500;8020000;102;16200000;1460;42.73;;;0.037;6.63;48.91;1.31;9.19;286.14;15.11;276.95;15.11;5.43;
1;11.25;8750;7030;79500;16400;1950000;;3590000;384;;;;;;;;;;;;;;
1;11.5;11200;4510;72600;16500;7920000;;14500000;1160;;;;;;;;;;;;;;
1;12;5110;4050;64100;14100;8910000;374;18500000;2850;48.16;;;0.042;6.77;53.19;1.23;;296.1;8.51;296.1;8.51;5.32;
1;12.5;4460;4340;49900;13700;8010000;;19900000;4410;;;;;;;;;;;;;;
1;13;8260;5280;58900;13000;5930000;373;16300000;1920;97.79;;;0.079;7.41;47.63;1.45;4.05;87.64;1.39;83.59;1.39;6.33;
1;13.5;2130;4000;62000;18700;4970000;;14900000;8450;;;;;;;;;;;;;;
1;14;6380;6930;67400;11200;3040000;223;14600000;2350;110.84;;;0.591;8.92;36.78;0.02;11.39;322.18;6.48;310.79;6.48;6.61;
