Bag;DayPostInnoculum;Methylophaga;Glaciecola;Marinobacter;Alteromonas;Pseudoalteromonas;Methylophaga (> 20 um);Alteromonas (> 20 um);Pseudoalteromonas (> 20 um);Photobacterium (> 20 um);Roseobacter (> 20 um);Halomonas (> 20 um);Vibrio (> 20 um)
1;0;0.00000;0.00176;0.00031;0.00000;0.00000;-1;-1;-1;-1;-1;-1;-1
1;2;0.00000;0.00847;0.00000;0.00000;0.00368;-1;-1;-1;-1;-1;-1;-1
1;3;0.00000;0.00214;0.00000;0.00000;0.00994;-1;-1;-1;-1;-1;-1;-1
1;4;0.00000;0.00602;0.00000;0.00089;0.06221;-1;-1;-1;-1;-1;-1;-1
1;5;0.00000;0.00000;0.00480;0.00750;0.08542;-1;-1;-1;-1;-1;-1;-1
1;6;0.00000;0.00083;0.00227;0.00617;0.04771;-1;-1;-1;-1;-1;-1;-1
1;7;0.00000;0.00077;0.00262;0.00648;0.06669;-1;-1;-1;-1;-1;-1;-1
1;8;0.00000;0.00203;0.00381;0.02332;0.03087;-1;-1;-1;-1;-1;-1;-1
1;9;0.00000;0.00079;0.00256;0.01195;0.01821;-1;-1;-1;-1;-1;-1;-1
1;10;0.00020;0.00584;0.00000;0.00853;0.00718;-1;-1;-1;-1;-1;-1;-1
1;11;0.00013;0.01165;0.00000;0.00125;0.00125;-1;-1;-1;-1;-1;-1;-1
1;12;0.00029;0.00789;0.00000;0.00145;0.00062;-1;-1;-1;-1;-1;-1;-1
1;13;0.00000;0.00140;0.00000;0.00067;0.00041;-1;-1;-1;-1;-1;-1;-1
1;14;0.00017;0.00569;0.00000;0.00145;0.00111;-1;-1;-1;-1;-1;-1;-1
1;15;0.00164;0.00164;0.00123;0.00341;0.00064;-1;-1;-1;-1;-1;-1;-1
1;16;0.00077;0.00353;0.00000;0.00094;0.00042;-1;-1;-1;-1;-1;-1;-1
1;17;0.00000;0.00605;0.00000;0.00331;0.00038;-1;-1;-1;-1;-1;-1;-1
1;18;0.00319;0.00092;0.00000;0.00166;0.00000;-1;-1;-1;-1;-1;-1;-1
1;19;0.00277;0.00322;0.00000;0.00326;0.00000;-1;-1;-1;-1;-1;-1;-1
1;20;0.00148;0.00222;0.00000;0.00165;0.00041;-1;-1;-1;-1;-1;-1;-1
1;21;0.00169;0.00151;0.00000;0.00154;0.00076;-1;-1;-1;-1;-1;-1;-1
1;22;0.00219;0.00320;0.00000;0.00277;0.00000;-1;-1;-1;-1;-1;-1;-1
1;22.5;0.00286;0.00184;0.00000;0.00222;0.00000;-1;-1;-1;-1;-1;-1;-1
1;23;0.00509;0.00034;0.00017;0.00034;0.00000;-1;-1;-1;-1;-1;-1;-1
1;23.5;0.00417;0.00288;0.00000;0.00077;0.00000;-1;-1;-1;-1;-1;-1;-1
2;0;0.00036;0.00063;0.00091;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0
2;2;0.00000;0.00183;0.00081;0.00000;0.00264;0.00000;0.00000;0.01814;0.00000;0.00000;0.00000;0
2;3;0.00000;0.00226;0.00273;0.00000;0.02104;0.00000;0.00000;0.04904;0.00323;0.00000;0.00000;0
